id,nome,safra,uva,tempodeguarda,harmonizacao,vinicola_id
264,SUZANA BALBO WHITE BLEND,2021,White Blend,5,"Carnes brancas grelhadas, queijos leves",69
265,TAPIZ BLACK TEARS MALBEC,2015,Malbec,8,"Carnes vermelhas grelhadas, queijos intensos",70
266,TRUMPETER CABERNET SAUVIGNON,2020,Cabernet Sauvignon,6,"Carnes vermelhas assadas, queijos macios",71
267,USPALLATA MALBEC,2017,Malbec,7,"Carnes vermelhas grelhadas, queijos intensos",72
268,USPALLATA PINOT NOIR,2017,Pinot Noir,5,"Frango, peixes de carne branca",72
269,VINA ALICIA CUARZO PETIT VERDOT,2011,Petit Verdot,7,"Carnes vermelhas grelhadas, queijos intensos",73
270,ZUCARDI ALUVIONAL MALBEC,2017,Malbec,8,"Carnes vermelhas grelhadas, queijos intensos",74
271,ZUCARDI CONCRETO MALBEC,2018,Malbec,8,"Carnes vermelhas grelhadas, queijos intensos",74
272,ZUCARDI Q CABERNET SAUVIGNON,2018,Cabernet Sauvignon,8,"Carnes vermelhas grelhadas, queijos intensos",74
273,ZUCARDI Q MALBEC,2018,Malbec,8,"Carnes vermelhas grelhadas, queijos intensos",74
274,ZUCARDI Q TEMPRANILLO,2017,Tempranillo,7,"Carnes vermelhas grelhadas, queijos intensos",74
275,ZUCARDI SERIE A BONARDA,2019,Bonarda,5,"Carnes vermelhas grelhadas, queijos intensos",74
276,ZUCARDI SERIE A CHARDONNAY,2021,Chardonnay,4,"Frango, peixes de carne branca",74
277,ZUCARDI SERIE A MALBEC,2020,Malbec,8,"Carnes vermelhas grelhadas, queijos intensos",74
278,ZUCARDI SERIE A PINOT NOIR,2020,Pinot Noir,6,"Carnes vermelhas assadas, queijos macios",74
279,ZUCARDI SERIE A SAUVIGNON BLANC,2022,Sauvignon Blanc,4,"Saladas, frutos do mar",74
280,ZUCCARDI LA CONSULTA CABERNET SAUVIGNON,2018,Cabernet Sauvignon,7,"Carnes vermelhas grelhadas, queijos intensos",74
281,ZUCCARDI LA CONSULTA MALBEC,2018,Malbec,8,"Carnes vermelhas grelhadas, queijos intensos",74
282,ZUCCARDI MALBEC,2020,Malbec,8,"Carnes vermelhas grelhadas, queijos intensos",74
283,ZUCCARDI SERIE A CHARDONNAY,2021,Chardonnay,4,"Frango, peixes de carne branca",74
284,ZUCCARDI SERIE A MALBEC,2020,Malbec,8,"Carnes vermelhas grelhadas, queijos intensos",74
285,ZUCCARDI VALLE DE UCO,2019,Malbec,8,"Carnes vermelhas grelhadas, queijos intensos",74
